Marque,Famille,Sous_famille,Parfumeur,Prix_Categorie,Fragrance,Origine,Genre,Année,Ingredients_txt,Concepts_txt
Perfumer H,FLORAL,FLORAL,Lyn Harris,Niche,ROSE WITH INSECT,Royaume-Uni,Unisexe,2025,mandarine papyrus néroli tunisie bouleau musc bois de santal pêche bergamote cardamome rose,quotidien rond floral florissant romantique riche décontracté jour féminin propre
L'Occitane,FLORAL,AMBRÉ (ORIENTAL),"Nadège Le Garlantezec,Calice Becker,Calice Asancheyev-Becker",Mass Market,TERRE DE LUMIÈRE L'EAU,France,Femme,2025,bergamote graine dambrette acacia poivre rose fève tonka amande musc miel,quotidien rond décontracté riche robuste intense puissant généreux jour automne
Benetton,FLORAL,AMBRÉ (ORIENTAL),Alexis Grugeon,Mass Market,SISTERLAND x STRANGER THINGS 2025,Italie,Femme,2025,bergamote muguet crème chantilly poire poivre rose bois de santal vanille fleur doranger néroli musc,quotidien riche généreux décontracté intense puissant robuste jour exotique sucré
Nuxe,FOUGÈRE AROMATIQUE,EPICÉ,Inconnu,Mass Market,NUXE MEN LE PARFUM,France,Homme,2025,musc poivre noir sauge sclarée baies de genièvre vétiver cardamome pamplemousse,décontracté quotidien jour dynamique pétillant energisant sportif intense marin ozone
Cristiano Ronaldo,FOUGÈRE AROMATIQUE,VERT,Inconnu,Mass Market,CR7 ENERGY,Royaume-Uni,Homme,2025,géranium gingembre mousse fleur doranger bergamote cèdre atlas ciste labdanum cardamome patchouli lavande,quotidien décontracté jour pétillant energisant sportif eté dynamique mauve arbuste
M. Micallef,FLORAL,AMBRÉ (ORIENTAL),Geoffrey Nejman,Niche,YLANG IN GOLD NECTAR CHRISTMAS EDITION 2025,France,Femme,2025,géranium musc orange bois de santal ylangylang rose noix de coco muguet vanille agrumes magnolia,floral riche florissant automne féminin intense robuste puissant exotique quotidien
M. Micallef,FLORAL,MUSQUÉ,Geoffrey Nejman,Niche,ROYAL MUSKA NECTAR CHRISTMAS EDITION 2025,France,Femme,2025,musc pêche notes boisées rose,quotidien décontracté rond jour automne riche puissant féminin confortable blanc
M. Micallef,FLORAL,MUSQUÉ,Jean-Claude Astier,Niche,PURE EXTRÊME NECTAR CHRISTMAS EDITION 2025,France,Femme,2025,ambre gardénia musc jasmin rose fleurs blanches,quotidien décontracté rond blanc jour romantique confortable florissant automne propre
Philipp Plein,FOUGÈRE AROMATIQUE,EPICÉ,Coralie Spicher,Prestige,PLEIN SPORT DYNAMITE,Suisse,Homme,2025,cardamome menthe agrumes cypriol nagarmota feuille de figuier cashmeran boisé musqué poivre noir calone marin gingembre mandarine vétiver,décontracté quotidien jour dynamique pétillant energisant sportif intense marin ozone
M. Micallef,AMBRÉ (ORIENTAL),AMBRÉ (ORIENTAL),Paulo de Moraes,Niche,NOTE VANILLÉE NECTAR CHRISTMAS EDITION 2025,France,Unisexe,2025,bois de santal jasmin mandarine vanille bourbon rhum agrumes ambre cognac,intense riche robuste puissant nuit oriental ambré rond lourd tapeàlœil
M. Micallef,FLORAL,AMBRÉ (ORIENTAL),Thierry Romeo,Niche,HYPNOTIC MUSK NECTAR CHRISTMAS EDITION 2025,France,Unisexe,2025,musc caramel ambre gris vanille bois de santal gingembre bergamote framboise iris violette litchi,quotidien rond riche décontracté intense robuste puissant romantique généreux jour
Calvin Klein,CITRUS,CITRUS,Inconnu,Prestige,CK ONE ESSENCE VIVA LOVE,États-Unis d'Amérique,Unisexe,2025,bergamote thé vert santal australie,frais quotidien décontracté jour unisexe hespéridé dynamique pétillant vigoureux acide
Guerlain,FLORAL,AMBRÉ (ORIENTAL),Thierry Wasser,Niche,IMAGINE GUERLAIN MILLÉSIME 2025,France,Unisexe,2025,rose grasse benjoin jasmin orange bois de santal musc patchouli ylangylang fleur doranger amande,rond quotidien riche décontracté charnel violet intense robuste puissant floral
Brioni,BOISÉ,CITRUS,Alexis Dadier,Niche,PAPYRUS ÉTERNEL,Italie,Unisexe,2025,thé noir thé maté ambre vétiver haïti bergamote thé lapsang souchong papyrus vétiver java cardamome,quotidien décontracté robuste elégant intense riche puissant automne généreux jour
Brioni,AMBRÉ (ORIENTAL),AMBRÉ (ORIENTAL),Mylène Alran,Niche,LABDANUM BRUT,Italie,Unisexe,2025,bergamote poivre rose romarin musc cardamome rose vétiver ciste labdanum patchouli,intense riche robuste puissant nuit rond oriental ambré boisé hiver
Brioni,FLORAL,BOISÉ,"Michel Almairac,Karine Vinchon-Spehner",Niche,IRIS EXQUIS,Italie,Unisexe,2025,lavande thé maté feuilles de violettes verveine patchouli daim poivre noir iris graines de carotte,quotidien riche décontracté intense robuste puissant rond elégant jour automne
Brioni,AMBRÉ (ORIENTAL),AQUEUX,Nisrine Bouazzaoui Grillié,Niche,ENCENS MINÉRAL,Italie,Unisexe,2025,cèdre encens olibanum vétiver musc poivre noir muguet bergamote poivre rose,intense riche robuste puissant décontracté confiant remarquable affirmé tapeàlœil quotidien
Balmain,FLORAL,FRUITÉ,Quentin Bisch,Niche,ROUGE EAU DE TOILETTE,États-Unis d'Amérique,Unisexe,2025,ambrofix ambre gris noix de muscade magnolia ylangylang georgywood note cèdre jasmin sambac lys moraea ciliata pamplemousse osmanthus daim,quotidien romantique coloré exotique gai heureux optimiste liberté joyeux jour
Balmain,FLORAL,MUSQUÉ,Quentin Bisch,Niche,CARBONE EAU DE TOILETTE,États-Unis d'Amérique,Unisexe,2025,cumin rose musc rosyfolia rose patchouli daim santal australie ambrofix ambre gris,quotidien rond propre décontracté blanc jour charnel romantique automne confortable
Balmain,BOISÉ,BOISÉ,Quentin Bisch,Niche,BLEU INFINI EAU DE TOILETTE,États-Unis d'Amérique,Unisexe,2025,ciste labdanum poivre rose immortelle akigalawood note patchouli mousse salé mousse de chêne sauge sclarée artemisia evernyl mousse ambroxan ambre gris patchouli encens olibanum,intense riche robuste puissant boisé terreux elégant marron gris noir
Balmain,CITRUS,CHYPRE,Rodrigo Flores-Roux,Niche,BLANC GALAXIE EAU DE TOILETTE,États-Unis d'Amérique,Unisexe,2025,main de bouddha cédrat magnolia myrte citron vert mandarine verte bergamote cardamome patchouli musc,décontracté quotidien jour pétillant energisant sportif généreux blanc printemps unisexe
Gisada,BOISÉ,VERT,Inconnu,Niche,VERDE,Suisse,Unisexe,2025,pivoine vétiver figue melon jasmin ambre gris bois de teck herbe coupée gardénia cannelle cèdre violette rose bois de santal abricot,quotidien décontracté intense riche robuste puissant jour automne elégant hiver
Bond No. 9 I Love NY,BOISÉ,AMBRÉ (ORIENTAL),Miroslav Petkov,Niche,OUD SUPREME,États-Unis d'Amérique,Unisexe,2025,bourgeons de cassis benjoin graines de carotte oud bois dagar citron patchouli baume gurjum poivre rose géranium encens olibanum rose turquie,intense riche robuste puissant décontracté quotidien affirmé automne hiver confiant
Bond No. 9 I Love NY,BOISÉ,AMBRÉ (ORIENTAL),Miroslav Petkov,Niche,GOOD OUD,États-Unis d'Amérique,Unisexe,2025,ciste labdanum baies sauvages cumin osmanthus patchouli sauge sclarée sumac myrrhe magnolia cannelle oud bois dagar grenade baume pérou vanille,intense riche robuste puissant boisé hiver automne marron décontracté nuit
Yardley,FLORAL,FRUITÉ,Inconnu,Mass Market,VIBRANT PEONY,Royaume-Uni,Femme,2025,cèdre pomme pivoine jasmin accord boisé ambré musc rose poire pêche,quotidien romantique coloré exotique gai heureux optimiste liberté joyeux jour
Armaf,AMBRÉ (ORIENTAL),FRUITÉ,Inconnu,Mass Market,SCENTASY NOIR DE PÊCHE,Émirats Arabes Unis,Unisexe,2025,pêche ambre musc crème chantilly notes florales,quotidien décontracté automne hiver généreux appétissant intense riche robuste puissant
Tiziana Terenzi,AMBRÉ (ORIENTAL),FRUITÉ,Paolo Terenzi,Niche,PHIVELE,Italie,Unisexe,2025,cèdre liban mandarine musc ylangylang fleurs de cerisier cerise mousse de chêne olive citron pêche rose turquie ambre patchouli osmanthus gingembre chine noix de muscade carotte,intense riche robuste puissant girly sucré généreux quotidien lourd tapeàlœil
Tiziana Terenzi,BOISÉ,FRUITÉ,Paolo Terenzi,Niche,OMICRON,Italie,Unisexe,2025,cèdre pêche lait de coco santal australie rose bulgarie orange bergamote citron ambre vanille bourbon jasmin grasse bouleau frangipanier pamplemousse noisette,intense riche robuste puissant quotidien boisé automne exotique marron décontracté
Armaf,FLORAL,MUSQUÉ,Inconnu,Mass Market,ISLAND BREEZE,Émirats Arabes Unis,Unisexe,2025,musc vanille baies sauvages notes poudrées rose pêche ambre bergamote davana,quotidien rond blanc décontracté jour automne propre romantique confortable liberté
Armaf,FLORAL,FRUITÉ,Inconnu,Mass Market,BON BON,Émirats Arabes Unis,Unisexe,2025,thé pomme verte papaye bois de santal mandarine pivoine musc lys accord gourmand abricot marine bergamote,quotidien romantique coloré exotique gai heureux optimiste liberté joyeux jour
Map of the Heart,BOISÉ,CITRUS,"Nisrine Bouazzaoui Grillié,Amélie Jacquin",Niche,V.9 WONDER,Australie,Unisexe,2025,bergamote mimosa palo santo santal australie mandarine chêne poivre du sichuan osmanthus chine ylangylang,quotidien décontracté robuste elégant intense riche puissant automne généreux jour
Nautica,CITRUS,CHYPRE,Inconnu,Mass Market,NAUTICA CLASSIC GREEN,États-Unis d'Amérique,Homme,2025,vétiver gingembre géranium,décontracté quotidien jour exotique généreux energisant sportif robuste elégant printemps
Donna Karan DKNY,CHYPRE,FLORAL,Jérôme Epinette,Prestige,DKNY 24/7 RUSH 2025,États-Unis d'Amérique,Unisexe,2025,encens olibanum papyrus tagètes magnolia rose patchouli ciste labdanum cuir safran pomme bois de gaïac,riche intense robuste puissant elégant sophistiqué automne hiver nuit chic
Donna Karan DKNY,FLORAL,BOISÉ,Laurent Le Guernec,Prestige,DKNY 24/7 ELECTRIC,États-Unis d'Amérique,Unisexe,2025,bergamote encens olibanum benjoin mousse mangue gardénia fleur doranger musc patchouli vanille bois de santal tangerine jasmin papyrus,quotidien riche décontracté intense robuste puissant jour généreux exotique hiver
D.S. &amp; Durga,FOUGÈRE AROMATIQUE,AQUEUX,David Seth Moltz,Niche,CONCRETE LIGHTNING,États-Unis d'Amérique,Unisexe,2025,notes de pluie brume electrique steam accord notes ozoniques herbe coupée,dynamique eté frais marin ozone sportif aqueux printemps gelé quotidien
Loewe,AMBRÉ (ORIENTAL),AMBRÉ (ORIENTAL),Nuria Cruelles Borrull,Prestige,ROASTED VANILLA,Espagne,Unisexe,2025,poivre rose chêne vanille cognac,nuit intense riche robuste puissant généreux hiver chaud chaud décontracté
Loewe,FLORAL,MUSQUÉ,Nuria Cruelles Borrull,Prestige,IRIS ROOT,Espagne,Unisexe,2025,poivre du sichuan iris angélique,quotidien automne rond décontracté jour blanc riche puissant féminin confortable
Ghost,FLORAL,AMBRÉ (ORIENTAL),Inconnu,Mass Market,GHOST ORB OF NIGHT ELIXIR,Royaume-Uni,Femme,2025,vanille bourbon cerise noire fleur doranger,rond quotidien riche intense robuste puissant décontracté généreux charnel violet
Loewe,BOISÉ,AMBRÉ (ORIENTAL),Nuria Cruelles Borrull,Prestige,BITTERSWEET OUD,Espagne,Unisexe,2025,bois de santal oud bois dagar orange amère,intense riche robuste puissant boisé hiver marron décontracté quotidien profond
L'Occitane,FLORAL,FLORAL,Fabrice Pellegrin,Mass Market,ROSE,France,Femme,2025,feuilles de violettes ambre rose turquie framboise patchouli litchi musc poivre rose rose centifolia,quotidien florissant romantique rond décontracté jour riche blanc floral printemps
Ghost,FLORAL,AMBRÉ (ORIENTAL),Inconnu,Mass Market,GHOST DEEP NIGHT ELIXIR,Royaume-Uni,Femme,2025,ambre bergamote prune rose,quotidien décontracté automne floral jour riche exotique florissant intense robuste
Ghawali,FLORAL,AMBRÉ (ORIENTAL),Inconnu,Niche,DUSK OUTRO,Arabie Saoudite,Unisexe,2025,praline citron vanille fleur doranger musc basilic mandarine cèdre néroli,quotidien décontracté généreux riche jour robuste intense puissant exotique hiver
Borntostandout,AMBRÉ (ORIENTAL),GOURMAND,Gaël Montero,Niche,CHOCO LOCO 2025,Corée du Sud,Unisexe,2025,musc beurre de cacao cacao crème chantilly gingembre graine dambrette caramel liqueur marshmallow vanille lait concentré sucre brun accord cookie,intense riche puissant robuste nuit généreux chaud boisé mystique chaleur
Borntostandout,CUIR,BOISÉ,"Véronique Nyberg,Veronique Nyberg",Niche,BLACK KARAK,Corée du Sud,Unisexe,2025,oud bois dagar fève tonka cardamome cypriol nagarmota bois de gaïac café amberwood masala chai cuir thé noir safran,intense riche robuste puissant profond nuit tapeàlœil affirmé marron gris
Borntostandout,CUIR,GOURMAND,Quentin Bisch,Niche,BLACK CRÈME,Corée du Sud,Unisexe,2025,caramel cire de bougie georgywood note cèdre ambre iris vanille oud bois dagar graine dambrette lait cuir myrrhe bois de santal,intense riche puissant tapeàlœil robuste nuit chaleur chaud ville lourd
Antinomie,FLORAL,AMBRÉ (ORIENTAL),Pierre-Constantin Guéros,Prestige,SOLEIL MOUILLÉ,France,Unisexe,2025,rose notes solaires magnolia jasmin sambac vanille madagascar bergamote noix de coco mandarine fève tonka musc,quotidien rond décontracté riche généreux robuste intense puissant charnel jour
L'Occitane,FLORAL,AMBRÉ (ORIENTAL),Karine Dubreuil-Sereni,Mass Market,NÉROLI ORCHIDÉE,France,Femme,2025,vanille orange musc néroli orchidée pêche mandarine iris fleur doranger,quotidien décontracté généreux riche jour robuste intense puissant exotique hiver
Ghawali,FLORAL,MUSQUÉ,Inconnu,Niche,KIN MUSK,Arabie Saoudite,Unisexe,2025,poivre rose musc sésame jasmin mimosa,quotidien rond décontracté blanc jour propre automne charnel confortable romantique
L'Occitane,FLORAL,FLORAL,Karine Dubreuil-Sereni,Mass Market,JASMIN & BERGAMOTE,France,Unisexe,2025,bergamote jasmin grasse mandarine magnolia cèdre cardamome bois de santal petitgrain citronnier feuilles,quotidien floral florissant rond romantique riche propre décontracté jour féminin
L'Occitane,FLORAL,FRUITÉ,Jérôme Epinette,Mass Market,FLEURS DE CERISIER,France,Femme,2025,bourgeons de cassis cerise muguet musc ambre bois de rose palissandre freesia fleurs de cerisier,quotidien romantique gai heureux optimiste liberté joyeux blanc jour décontracté
L'Occitane,CITRUS,CITRUS,Julie Massé,Mass Market,CÉDRAT,France,Homme,2025,musc feuilles de violettes amberwood poivre rose lemongrass cèdre menthe gingembre cédrat,pétillant acide energétique energisant sportif blanc vertical printemps eté stimulant
L'Occitane,BOISÉ,CITRUS,"Fabrice Pellegrin,Ilias Ermenidis",Mass Market,BARBOTINE,France,Unisexe,2025,musc cèdre menthe bois de santal camomille tansy bergamote ambre gris ambre muguet,quotidien décontracté pétillant energisant sportif jour robuste intense riche puissant
L'Occitane,FLORAL,MUSQUÉ,Karine Dubreuil-Sereni,Mass Market,ARLÉSIENNE,France,Femme,2025,fève tonka galbanum feuilles de violettes rose grasse safran aubépine iris mandarine bois de santal musc,quotidien rond décontracté blanc propre jour automne romantique charnel confortable
Philipp Plein,FOUGÈRE AROMATIQUE,VERT,Coralie Spicher,Prestige,PLEIN SPORT THUNDER,Suisse,Homme,2025,cetalox ambre gris baies de genièvre notes boisées laurier hivernal muguet bergamote gin cèdre aquozone marin ambre,dynamique pétillant aromatique energisant sportif mauve eté quotidien décontracté jour
L'Occitane,FLORAL,VERT,Shyamala Maisondieu,Mass Market,ORTIE BLANCHE,France,Unisexe,2025,herbe coupée bergamote mûre rosier des chiens ortie,quotidien florissant vert floral printemps gai heureux optimiste liberté décontracté
Montblanc,FLORAL,AMBRÉ (ORIENTAL),Guillaume Flavigny,Prestige,SIGNATURE ELIXIR,France,Femme,2025,accord boisé ambré orchidée vanille résines,rond quotidien riche décontracté charnel violet intense robuste puissant floral
Téo Cabanel,BOISÉ,AMBRÉ (ORIENTAL),Patrice Revillard,Niche,BONSOIR TEO,France,Unisexe,2025,cuir musc ambre cacao iris rhum cèdre,intense riche puissant robuste hiver automne boisé décontracté quotidien généreux
Scentologia,BOISÉ,AMBRÉ (ORIENTAL),Emilie Coppermann,Niche,WOOD.Y².LANG.,France,Unisexe,2025,jasmin artemisia ambrostar boisé ambré mandarine muguet pamplemousse fleur doranger vanille mousse fève tonka notes balsamiques patchouli cèdre bergamote iris musc noix de muscade ylangylang,intense riche robuste puissant boisé hiver nuit marron noir automne
Essential Parfums,FLORAL,MUSQUÉ,Calice Becker,Prestige,THE MUSC EXTRAIT BY CALICE BECKER,France,Unisexe,2025,ambrofix ambre gris vétiver notes fruitées rose bois de santal cannelle patchouli georgywood note cèdre cire dabeille ambrarome musc,quotidien rond propre décontracté blanc jour charnel romantique automne confortable
Headspace,BOISÉ,TABAC,Julien Rasquinet,Niche,TABAC,France,Unisexe,2025,vanille fève tonka ambrox ambre gris clou de girofle gingembre feuille de tabac café foin anis,intense riche robuste puissant automne hiver gris boisé profond noir
Clean,AMBRÉ (ORIENTAL),MUSQUÉ,Clément Gavarry,Niche,SKIN (INTENSE) 2025,États-Unis d'Amérique,Unisexe,2025,eau de mer bois de santal musc caramel bergamote vanille fève tonka jasmin muguet,décontracté hiver puissant quotidien nuit généreux riche intense robuste chaud
Amouage,BOISÉ,FRUITÉ,Pierre Negrin,Niche,SINDBAD 2025,Oman,Unisexe,2025,abricot tangerine davana vétiver thé noir gingembre fève tonka vanille cèdre cardamome cypriol nagarmota ciste labdanum miel mangue cappuccino,intense riche robuste puissant quotidien boisé automne exotique marron décontracté
Headspace,CUIR,BOISÉ,Julien Rasquinet,Niche,SAFRAN,France,Unisexe,2025,iris thé lapsang souchong thé maté patchouli osmanthus galbanum safran cuir poivre encens olibanum cardamome,intense riche robuste puissant automne hiver profond tapeàlœil nuit affirmé
Headspace,BOISÉ,FRUITÉ,Julien Rasquinet,Niche,OUD,France,Unisexe,2025,patchouli ananas oud cambodge cuir pivoine poire géranium fleur doranger citron,quotidien automne intense riche robuste puissant décontracté hiver jour généreux
Dior,FLORAL,FRUITÉ,Francis Kurkdjian,Prestige,MISS DIOR BY MAISON FÉVRIER 2025,France,Femme,2025,chêne sureau noir mûre jasmin sambac,quotidien romantique coloré exotique gai heureux optimiste liberté joyeux jour
D.S. &amp; Durga,BOISÉ,CITRUS,Inconnu,Niche,I DON'T KNOW WHAT 2025,États-Unis d'Amérique,Unisexe,2025,vétiver iso e super note cèdre bergamote ambrox ambre gris bois de santal civetone note animale,quotidien décontracté robuste elégant intense riche puissant automne généreux jour
Versace,FLORAL,MUSQUÉ,Inconnu,Prestige,CRYSTAL EMERALD,Italie,Femme,2025,encens somalie musc fève tonka sorbet framboise bergamote rose jasmin inde pêche poivre rose,quotidien rond propre décontracté blanc jour charnel romantique automne confortable
Headspace,FLORAL,FRUITÉ,"Julien Rasquinet,Geza Schoen",Niche,CHAMPACA,France,Unisexe,2025,poivre rose musc mangue heliotrope jasmin cyprès pêche géranium tubéreuse,coloré exotique blanc floral florissant quotidien féminin riche automne ensoleillé
Bentley,BOISÉ,CITRUS,Violaine Collas,Mass Market,BENTLEY BECOME ZENITH,Royaume-Uni,Homme,2025,vanille patchouli indonésie cuir ambre gris feuilles de violettes cardamome cacao papyrus musc,quotidien décontracté robuste elégant intense riche puissant automne généreux jour
Headspace,FLORAL,AMBRÉ (ORIENTAL),Julien Rasquinet,Niche,ACACIA,France,Unisexe,2025,prune mimosa vanille opoponax rhum bois de santal fève tonka davana,quotidien riche décontracté généreux intense robuste puissant jour exotique hiver
Superdry,AMBRÉ (ORIENTAL),CITRUS,Romain Almairac,Mass Market,REAL SUPERDRY 03 FOR WOMEN,Royaume-Uni,Femme,2025,tangerine mandarine pomme rose feuilles de violettes fève tonka accord boisé ambré cashmeran boisé musqué vanille géranium,décontracté généreux robuste quotidien intense riche puissant girly confiant nuit
Superdry,BOISÉ,AMBRÉ (ORIENTAL),Alexandra Monet,Mass Market,REAL SUPERDRY 03 FOR MEN,Royaume-Uni,Homme,2025,vanille violette iris cardamome vétiver café,intense riche robuste puissant boisé hiver automne marron nuit décontracté
Arquiste,BOISÉ,AMBRÉ (ORIENTAL),Rodrigo Flores-Roux,Niche,NOCTURNALITY,États-Unis d'Amérique,Unisexe,2025,caoutchouc résines reine de la nuit patchouli indonésie civette notes animales rose bulgarie cuir papyrus poivre noir cèdre atlas castoreum hyraceum africa stone oud bois dagar styrax latex,intense riche robuste puissant boisé hiver marron noir automne nuit
Essential Parfums,CITRUS,CITRUS,Antoine Maisondieu,Prestige,NICE BERGAMOTE EXTRAIT BY ANTOINE MAISONDIEU,France,Unisexe,2025,patchouli bergamote ambre musc fève tonka orange amère sucre ylangylang cèdre jasmin sambac,frais quotidien décontracté jour unisexe hespéridé dynamique pétillant vigoureux acide
Caron,BOISÉ,AMBRÉ (ORIENTAL),Louise Turner,Niche,ATMAH,France,Unisexe,2025,graine dambrette jasmin vanille akigalawood note patchouli musc vétiver ambrofix ambre gris tubéreuse poivre rose rosyfolia rose,intense riche robuste puissant boisé hiver marron noir automne nuit
Labsolue,FOUGÈRE AROMATIQUE,VERT,Leslie Gauthier ,Niche,318 CANAPA,Italie,Unisexe,2025,anis étoilé clou de girofle ambre cèdre cardamome sauge sclarée baume copahu copaïba cumin accord cannabis mandarine armoise patchouli vétiver haïti noix de muscade,dynamique pétillant aromatique energisant sportif mauve eté quotidien décontracté jour
Labsolue,FLORAL,FLORAL,Vincent Schaller,Niche,219 TUBEROSA,Italie,Unisexe,2025,tubéreuse osmanthus graines de céleri jasmin ylangylang benjoin,floral florissant quotidien féminin romantique riche rond coloré exotique automne
Gucci,FLORAL,FLORAL,"Cécile Matton,Ralf Schwieger",Niche,ROSA INCANDESCENTE,Italie,Unisexe,2025,salé freesia géranium orcanox ambre gris algues mousse de chêne rose damascena ambre gris poivre rose,quotidien rond floral florissant romantique riche décontracté jour féminin blanc
Mancera,AMBRÉ (ORIENTAL),AMBRÉ (ORIENTAL),Inconnu,Niche,OMBRE TONKA,France,Unisexe,2025,amande benjoin bergamote vanille rose patchouli pistache fève tonka oud bois dagar amberwood,nuit intense riche robuste puissant généreux hiver chaud chaud décontracté
Jean Couturier,FLORAL,AMBRÉ (ORIENTAL),Céline Perdriel,Prestige,DIVIN JASMIN,France,Unisexe,2025,cassis bergamote mimosa jasmin sambac orange sanguine musc ylangylang vanille miel baies rouges,rond quotidien riche intense robuste puissant décontracté charnel violet généreux
Ariana Grande,FLORAL,BOISÉ,Inconnu,Mass Market,WICKED FOR GOOD GLINDA BUBBLY PINK 2025,États-Unis d'Amérique,Unisexe,2025,pomme poivre rose tulipe bois de santal musc notes boisées pivoine nectarine cèdre,quotidien riche intense robuste puissant décontracté automne rond jour elégant
Jennifer Lopez,FLORAL,AMBRÉ (ORIENTAL),Inconnu,Mass Market,PROMISE INTENSE,États-Unis d'Amérique,Femme,2025,mandarine bergamote jasmin bois de santal chèvrefeuille ambre poire,quotidien rond riche intense robuste puissant décontracté généreux jour automne
Diptyque,CHYPRE,FLORAL,Olivier Pescheux,Niche,ORPHÉON EAU DE PARFUM HOLIDAY EDITION 2025,France,Unisexe,2025,ciste labdanum benjoin laos rose damascena patchouli ylangylang lentisque miel fève tonka jasmin arabie ambroxan ambre gris vétiver baies de genièvre effet glaçon cèdre musc ambre magnolia galbanum vert de mandarine citron,riche intense robuste puissant elégant féminin violet sophistiqué mousseux automne
